date,temperature,humidity,wind_speed,wind_direction,pressure,PM2.5,CO,NO,NO2,O3,PB,PM10,SO2
2022-01-01,52.5,58.3,5.9,346.7,1019.0,11.4,0.5,0.019,31.5,0.036,,21.0,0.2
2022-01-01,52.5,58.3,5.9,346.7,1019.0,11.4,0.5,0.019,28.1,0.036,,21.0,0.2
2022-01-01,52.5,58.3,5.9,346.7,1019.0,11.4,0.5,0.019,31.5,0.036,,21.0,0.2
2022-01-01,52.5,58.3,5.9,346.7,1019.0,11.4,0.5,0.019,28.1,0.036,,21.0,0.2
2022-01-01,52.5,58.3,5.9,346.7,1019.0,12.1,0.5,0.019,31.5,0.036,,21.0,0.2
2022-01-01,52.5,58.3,5.9,346.7,1019.0,12.1,0.5,0.019,28.1,0.036,,21.0,0.2
2022-01-01,52.5,58.3,5.9,346.7,1019.0,12.1,0.5,0.019,31.5,0.036,,21.0,0.2
2022-01-01,52.5,58.3,5.9,346.7,1019.0,12.1,0.5,0.019,28.1,0.036,,21.0,0.2
2022-01-02,52.0,41.0,6.3,351.8,1023.9,7.0,0.6,0.017,33.7,0.036,,17.0,0.2
2022-01-02,52.0,41.0,6.3,351.8,1023.9,7.0,0.6,0.017,30.4,0.036,,17.0,0.2
2022-01-02,52.0,41.0,6.3,351.8,1023.9,7.0,0.6,0.017,33.7,0.036,,17.0,0.2
2022-01-02,52.0,41.0,6.3,351.8,1023.9,7.0,0.6,0.017,30.4,0.036,,17.0,0.2
2022-01-02,52.0,41.0,6.3,351.8,1023.9,6.2,0.6,0.017,33.7,0.036,,17.0,0.2
2022-01-02,52.0,41.0,6.3,351.8,1023.9,6.2,0.6,0.017,30.4,0.036,,17.0,0.2
2022-01-02,52.0,41.0,6.3,351.8,1023.9,6.2,0.6,0.017,33.7,0.036,,17.0,0.2
2022-01-02,52.0,41.0,6.3,351.8,1023.9,6.2,0.6,0.017,30.4,0.036,,17.0,0.2
2022-01-03,51.4,50.1,4.7,312.5,1022.4,8.4,0.8,0.065,39.5,0.03,,23.0,0.6
2022-01-03,51.4,50.1,4.7,312.5,1022.4,8.4,0.8,0.065,35.5,0.03,,23.0,0.6
2022-01-03,51.4,50.1,4.7,312.5,1022.4,8.4,0.7,0.065,39.5,0.03,,23.0,0.6
2022-01-03,51.4,50.1,4.7,312.5,1022.4,8.4,0.7,0.065,35.5,0.03,,23.0,0.6
2022-01-03,51.4,50.1,4.7,312.5,1022.4,8.0,0.8,0.065,39.5,0.03,,23.0,0.6
2022-01-03,51.4,50.1,4.7,312.5,1022.4,8.0,0.8,0.065,35.5,0.03,,23.0,0.6
